Tipo_aviso;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre;Serie;Norte;Este;Depto;Municipio;Vereda;Cia
VEGETACIÓN;INIC GERE;Año;2377292;19894192;2019-02-03 00:00:00;2019-03-08 00:00:00;2019-04-13 00:00:00;11534;1048864,6;832857,3352;CALDAS;MANIZALES;LA TRINIDAD;Azul
VEGETACIÓN;INIC GERE;Año;2377292;19894192;2019-02-03 00:00:00;2019-02-03 00:00:00;2019-04-13 00:00:00;11534;1048864,6;832857,3352;CALDAS;MANIZALES;LA TRINIDAD;Azul
INVASIÓN/EXPLANACION ;INIC GERE;Año;2495138;19894192;2016-04-13 00:00:00;2016-04-13 00:00:00;2016-12-23 00:00:00;11534;1048864,6;832857,3352;CALDAS;MANIZALES;LA TRINIDAD;Azul
CONSTRUCCIONES;CTER GERE;Dos años;1065822;19895191;2013-01-04 00:00:00;2013-01-05 00:00:00;2013-10-05 00:00:00;15573;791801,8185;719663,9157;CAUCA;MORALES;VALPARAISO;Azul
VEGETACIÓN;INIC COND GERE;Semestre;2530845;19895191;2015-06-18 00:00:00;2015-06-18 00:00:00;2015-10-23 00:00:00;15573;791801,8185;719663,9157;CAUCA;MORALES;VALPARAISO;Azul
CONSTRUCCIONES;INIC GEAM;Seis años;1749591;19895190;2007-09-13 00:00:00;2007-09-13 00:00:00;1970-01-01 00:00:00;15574;792644,8942;719777,5207;CAUCA;MORALES;MATA REDONDA;Azul
CONSTRUCCIONES;INIC GERE;Año;1687710;19895190;2009-01-10 00:00:00;2009-01-10 00:00:00;2013-06-23 00:00:00;15574;792644,8942;719777,5207;CAUCA;MORALES;MATA REDONDA;Azul
CONSTRUCCIONES;INIC GEAM;Seis años;2973233;19895190;2014-01-09 00:00:00;2014-01-12 00:00:00;1970-01-01 00:00:00;15574;792644,8942;719777,5207;CAUCA;MORALES;MATA REDONDA;Azul
CONSTRUCCIONES;INIC GEAM;Seis años;2529294;19895190;2015-06-28 00:00:00;2015-06-28 00:00:00;1970-01-01 00:00:00;15574;792644,8942;719777,5207;CAUCA;MORALES;MATA REDONDA;Azul
CONSTRUCCIONES;INIC GEAM GERE;Seis años;1064700;19895190;2013-01-17 00:00:00;2013-01-17 00:00:00;2019-05-02 00:00:00;15574;792644,8942;719777,5207;CAUCA;MORALES;MATA REDONDA;Azul
CONSTRUCCIONES;INIC GEAM GERE;Seis años;1064700;19895190;2013-01-17 00:00:00;2019-03-28 00:00:00;2019-05-02 00:00:00;15574;792644,8942;719777,5207;CAUCA;MORALES;MATA REDONDA;Azul
VEGETACIÓN;INIC TAMB GERE;Trimestre;2423236;19895190;2017-12-23 00:00:00;2018-03-09 00:00:00;2018-12-06 00:00:00;15574;792644,8942;719777,5207;CAUCA;MORALES;MATA REDONDA;Azul
VEGETACIÓN;INIC TAMB GERE;Trimestre;2423236;19895190;2017-12-23 00:00:00;2017-12-23 00:00:00;2018-12-06 00:00:00;15574;792644,8942;719777,5207;CAUCA;MORALES;MATA REDONDA;Azul
VEGETACIÓN;INIC GEAM TAMB;Trimestre;2417662;19895190;2017-12-23 00:00:00;2018-03-04 00:00:00;2018-07-11 00:00:00;15574;792644,8942;719777,5207;CAUCA;MORALES;MATA REDONDA;Azul
VEGETACIÓN;INIC GEAM TAMB;Trimestre;2417662;19895190;2017-12-23 00:00:00;2018-03-11 00:00:00;2018-07-11 00:00:00;15574;792644,8942;719777,5207;CAUCA;MORALES;MATA REDONDA;Azul
VEGETACIÓN;INIC GERE;Semestre;2481168;19895841;2016-07-26 00:00:00;2016-07-26 00:00:00;2016-10-06 00:00:00;17033;760383,6861;710914,7163;CAUCA;TIMBÍO;LA CABAÑA;Azul
CONSTRUCCIONES;INIC GERE;Tres años;1722563;19895841;2008-03-09 00:00:00;2008-03-09 00:00:00;2010-11-28 00:00:00;17033;760383,6861;710914,7163;CAUCA;TIMBÍO;LA CABAÑA;Azul
CONSTRUCCIONES;INIC GEAM;Año;1715664;19895841;2008-06-25 00:00:00;2008-06-25 00:00:00;2008-11-23 00:00:00;17033;760383,6861;710914,7163;CAUCA;TIMBÍO;LA CABAÑA;Azul
PERMISO INGRESO;CTER GERE;Año;1029914;19895156;2017-01-20 00:00:00;2018-01-31 00:00:00;2018-11-16 00:00:00;15614;811596,7208;720675,6667;CAUCA;SANTANDER DE QUILICHAO;SAN ISIDRO;Azul
