Tipo_aviso;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404640;19891978;2018-06-16 00:00:00;2018-08-01 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404640;19891978;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404639;19891978;2018-06-16 00:00:00;2018-06-23 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404639;19891978;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403081;19892271;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403081;19892271;2018-06-27 00:00:00;2018-07-26 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403086;19892252;2018-06-27 00:00:00;2018-08-12 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403086;19892252;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403085;19892251;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403085;19892251;2018-06-27 00:00:00;2018-08-05 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403084;19892251;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403084;19892251;2018-06-27 00:00:00;2018-07-29 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403083;19892247;2018-06-27 00:00:00;2018-07-21 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403083;19892247;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403082;19892246;2018-06-27 00:00:00;2018-08-09 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403082;19892246;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403079;19892278;2018-06-27 00:00:00;2018-08-01 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403079;19892278;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403080;19892276;2018-06-27 00:00:00;2018-06-27 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403080;19892276;2018-06-27 00:00:00;2018-08-18 00:00:00;1970-01-01 00:00:00
INVASIÓN/EXPLANACION;CPRO ENPT REAN EESP GERE;Año;2881189;19883481;2014-02-28 00:00:00;2014-02-28 00:00:00;2016-07-02 00:00:00
CONSTRUCCIONES;INIC GEAM;Tres años;2549395;19892456;2015-04-11 00:00:00;2015-04-11 00:00:00;2015-12-30 00:00:00
CONSTRUCCIONES;INIC ENPT GERE;Año;1118464;19891797;2012-05-19 00:00:00;2012-05-19 00:00:00;2014-05-23 00:00:00
CONSTRUCCIONES;INIC ENPT GERE;Año;1283262;19874734;2011-09-28 00:00:00;2011-09-28 00:00:00;2015-10-10 00:00:00
CONSTRUCCIONES;INIC ENPT GERE;Año;1118462;19891788;2012-05-19 00:00:00;2012-05-19 00:00:00;2014-05-23 00:00:00
CONSTRUCCIONES;INIC GERE;Año;1288487;19892529;2011-09-25 00:00:00;2011-09-25 00:00:00;2014-07-27 00:00:00
CONSTRUCCIONES;INIC ENPT GERE;Año;1118472;19891814;2012-05-19 00:00:00;2012-05-19 00:00:00;2014-05-23 00:00:00
CONSTRUCCIONES;INIC ENPT GERE;Semestre;1115591;19879159;2012-06-01 00:00:00;2012-06-01 00:00:00;2014-05-10 00:00:00
CONSTRUCCIONES;INIC ENPT GERE;Año;2976752;19874754;2013-11-28 00:00:00;2013-11-28 00:00:00;2015-10-10 00:00:00
CONSTRUCCIONES;INIC ENPT GERE;Semestre;1115589;19879157;2012-06-01 00:00:00;2012-06-01 00:00:00;2014-05-10 00:00:00
CONSTRUCCIONES;INIC GEAM;Tres años;2549404;19892465;2015-04-11 00:00:00;2015-04-11 00:00:00;2015-08-16 00:00:00
CONSTRUCCIONES;INIC GERE;Año;1118491;19892458;2012-05-19 00:00:00;2012-05-19 00:00:00;2013-07-16 00:00:00
OBRAS;INIC GERE;Dos años;1118494;19892478;2012-05-19 00:00:00;2012-05-19 00:00:00;2013-08-01 00:00:00
OBRAS;INIC ENPT GERE;Tres años;1712530;19892456;2008-08-08 00:00:00;2008-08-08 00:00:00;2012-05-20 00:00:00
CONSTRUCCIONES;INIC GERE;Año;1771479;19891466;2007-01-20 00:00:00;2007-01-20 00:00:00;2008-06-14 00:00:00
OBRAS;INIC ENPT GEAM;Año;1633941;19879161;2010-05-27 00:00:00;2010-05-27 00:00:00;2012-07-19 00:00:00
OBRAS;INIC ENPT GEAM;Año;1633944;19879159;2010-05-27 00:00:00;2010-05-27 00:00:00;2012-07-19 00:00:00
OBRAS;CPRO ENPT GERE;Trimestre;1234131;19892488;2011-11-09 00:00:00;2011-11-09 00:00:00;2013-08-01 00:00:00
OBRAS;INIC ENPT EESP GERE;Semestre;1362888;19891891;2011-07-11 00:00:00;2011-07-11 00:00:00;2013-10-11 00:00:00
OBRAS;INIC ENPT GEAM EESP;Año;2583242;19892469;2014-05-18 00:00:00;2014-05-18 00:00:00;2014-11-21 00:00:00
OBRAS;INIC ENPT GEAM;Año;2575014;19879161;2014-07-31 00:00:00;2014-07-31 00:00:00;2015-08-29 00:00:00
OBRAS;INIC ENPT CO19 GERE;Tres años;2575009;19879160;2014-07-31 00:00:00;2014-07-31 00:00:00;2016-11-03 00:00:00
OBRAS;INIC ENPT CO19 GERE;Tres años;2575010;19879161;2014-07-31 00:00:00;2014-07-31 00:00:00;2016-11-03 00:00:00
OBRAS;INIC ENPT CO19 GERE;Tres años;2574989;19879160;2014-07-31 00:00:00;2014-07-31 00:00:00;2016-11-03 00:00:00
OBRAS;COPL GERE;Seis años;1647509;19892480;2010-01-15 00:00:00;2010-01-15 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GEAM;Año;1653185;19892485;2009-12-16 00:00:00;2013-08-02 00:00:00;2013-08-02 00:00:00
OBRAS;COPL GERE;Año;1653384;19892484;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-02 00:00:00
OBRAS;COPL GEAM;Semestre;1687817;19892481;2009-01-09 00:00:00;2009-01-10 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Año;1664637;19892480;2009-09-19 00:00:00;2009-09-19 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Año;1653432;19892479;2009-12-12 00:00:00;2009-12-16 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Año;1653378;19892478;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Semestre;1687818;19892494;2009-01-09 00:00:00;2009-01-10 00:00:00;2013-08-02 00:00:00
OBRAS;COPL GERE;Año;1653380;19892476;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Año;1653376;19892474;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Año;1653374;19892473;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GEAM;Año;1653396;19892469;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Año;1653394;19892464;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Año;1653393;19892463;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Año;1653390;19892462;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-02 00:00:00
OBRAS;COPL GERE;Año;1653389;19892460;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Año;1653387;19892459;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Año;1653395;19892458;2009-12-12 00:00:00;2009-12-12 00:00:00;2013-08-01 00:00:00
OBRAS;COPL GERE;Año;1661445;19892489;2009-09-19 00:00:00;2009-10-29 00:00:00;2013-08-04 00:00:00
OBRAS;INIC GEAM;Mes;2582317;19892594;2014-05-24 00:00:00;2014-05-29 00:00:00;2014-07-27 00:00:00
OBRAS;INIC GERE;Año;1118537;19892486;2012-05-19 00:00:00;2012-05-19 00:00:00;2013-08-01 00:00:00
OBRAS;INIC GERE;Año;1118534;19892484;2012-05-19 00:00:00;2012-05-19 00:00:00;2013-08-01 00:00:00
OBRAS;INIC ENPT GEAM;Semestre;2583374;19892483;2014-05-17 00:00:00;2014-05-17 00:00:00;2014-11-21 00:00:00
OBRAS;INIC GEAM;Dos años;1118532;19892481;2012-05-19 00:00:00;2012-05-19 00:00:00;2013-08-01 00:00:00
OBRAS;INIC COND ENPT GEAM REAN;Mes;2562444;19892469;2014-10-17 00:00:00;2014-10-17 00:00:00;2015-01-08 00:00:00
OBRAS;INIC GERE;Año;1459225;19892460;2011-04-13 00:00:00;2011-04-18 00:00:00;2012-08-17 00:00:00
OBRAS;INIC ENPT GERE;Año;1635481;19891738;2010-05-20 00:00:00;2011-07-04 00:00:00;2012-09-03 00:00:00
OBRAS;INIC ENPT GERE;Año;1635481;19891738;2010-05-20 00:00:00;2010-05-20 00:00:00;2012-09-03 00:00:00
OBRAS;CPRO ENPT GEAM;Año;2986518;19891688;2013-09-27 00:00:00;2013-09-27 00:00:00;2015-01-03 00:00:00
OBRAS;COPE ENPT GEAM;Semestre;1064109;19892247;2012-05-17 00:00:00;2013-01-23 00:00:00;2014-09-13 00:00:00
OBRAS;PLAN ENPT GEAM EESP;Año;2647929;19892269;2014-04-21 00:00:00;2014-04-21 00:00:00;2016-04-03 00:00:00
CONSTRUCCIONES;INIC GERE;Mes;1511228;19892730;2011-02-22 00:00:00;2011-02-22 00:00:00;2011-07-06 00:00:00
INVASIÓN/EXPLANACION;INIC COND GEAM;Mes;2452120;19891649;2017-06-24 00:00:00;2017-06-24 00:00:00;1970-01-01 00:00:00
INVASIÓN/EXPLANACION;INIC COND GEAM;Mes;2452120;19891649;2017-06-24 00:00:00;2017-08-26 00:00:00;1970-01-01 00:00:00
CONSTRUCCIONES;INIC GEAM;Tres años;1025243;19892636;2017-03-11 00:00:00;2017-03-11 00:00:00;1970-01-01 00:00:00
CONSTRUCCIONES;INIC GEAM;Tres años;1033768;19866092;2016-12-07 00:00:00;2016-12-07 00:00:00;1970-01-01 00:00:00
CONSTRUCCIONES;INIC GEAM;Tres años;2467052;19859112;2016-11-25 00:00:00;2018-11-25 00:00:00;1970-01-01 00:00:00
CONSTRUCCIONES;INIC GEAM;Tres años;2467052;19859112;2016-11-25 00:00:00;2016-11-25 00:00:00;1970-01-01 00:00:00
