Date,Open,High,Low,Close,Adj Close,Volume
2022-07-04,17.200001,18.139999,17.000000,18.129999,17.863165,622400
2022-07-11,17.750000,18.690001,17.410000,18.590000,18.316397,646600
2022-07-18,18.990000,20.690001,18.660000,20.459999,20.158876,675100
2022-07-25,20.490000,22.559999,20.299999,22.410000,22.080173,751000
2022-08-01,22.100000,24.850000,21.990000,24.059999,23.705891,1090400
2022-08-08,24.469999,26.000000,24.389999,25.580000,25.203520,1132600
2022-08-15,25.230000,26.030001,24.740000,25.490000,25.114845,736400
2022-08-22,25.000000,25.379999,22.920000,23.080000,22.740314,574100
2022-08-29,22.990000,23.120001,20.940001,22.299999,21.971792,837000
2022-09-05,22.469999,23.730000,21.620001,23.549999,23.203398,422000
2022-09-12,23.719999,24.049999,20.680000,21.080000,20.769751,817700
2022-09-19,20.860001,22.370001,18.760000,19.299999,19.015947,468900
2022-09-26,18.959999,21.540001,18.959999,20.990000,20.681076,703200
2022-10-03,21.620001,22.959999,21.230000,21.540001,21.299049,661700
2022-10-10,21.629999,21.879999,19.620001,19.620001,19.400528,408000
2022-10-17,20.270000,21.360001,19.559999,20.900000,20.666206,339300
2022-10-24,20.910000,21.379999,20.000000,20.709999,20.478331,289600
2022-10-31,20.440001,25.750000,19.900000,23.860001,23.593096,993500
2022-11-07,24.000000,26.580000,23.700001,24.480000,24.206161,1025100
2022-11-14,24.330000,30.700001,23.750000,29.969999,29.634748,1525600
2022-11-21,30.049999,30.820000,28.400000,29.280001,28.952469,1244600
2022-11-28,29.030001,32.349998,26.540001,31.540001,31.187187,1937500
2022-12-05,31.520000,31.959999,29.549999,29.770000,29.436985,1000400
2022-12-12,29.670000,32.700001,28.950001,31.330000,30.979536,1991400
2022-12-19,30.660000,31.299999,28.000000,30.190001,29.852289,945800
2022-12-26,30.049999,31.190001,29.750000,30.770000,30.425798,474400
2023-01-02,31.400000,32.880001,29.889999,31.219999,30.948734,986700
2023-01-09,31.559999,32.900002,30.270000,32.220001,31.940052,1188600
2023-01-16,32.230000,34.639999,30.410000,32.869999,32.584396,1332800
2023-01-23,33.000000,35.500000,31.290001,33.759998,33.466663,1133400
2023-01-30,33.799999,36.480000,33.209999,35.169998,34.864410,1127600
2023-02-06,35.430000,36.099998,33.320000,33.730000,33.436928,952200
2023-02-13,33.730000,36.419998,33.730000,35.330002,35.023026,729000
2023-02-20,34.770000,35.279999,34.000000,34.730000,34.428234,814300
2023-02-27,34.950001,42.750000,34.950001,42.560001,42.190205,3032800
2023-03-06,42.590000,43.840000,38.389999,39.459999,39.117138,1883300
2023-03-13,38.750000,40.660000,36.750000,36.959999,36.638859,1852100
2023-03-20,37.400002,39.740002,36.009998,38.040001,37.709476,1298200
2023-03-27,38.570000,42.599998,36.959999,41.959999,41.595417,2254400
2023-04-03,43.259998,45.619999,39.349998,40.000000,39.741394,2067800
2023-04-10,39.849998,44.000000,39.750000,42.840000,42.563038,2002100
2023-04-17,42.990002,46.790001,42.610001,46.299999,46.000671,1553700
2023-04-24,46.689999,47.630001,41.099998,43.849998,43.566505,2111800
2023-05-01,44.189999,48.500000,40.709999,45.869999,45.573448,2462600
2023-05-08,46.810001,47.799999,45.310001,46.570000,46.268925,2028100
2023-05-15,46.799999,49.060001,42.750000,43.970001,43.685730,4907600
2023-05-22,44.160000,46.060001,39.150002,40.139999,39.880493,3338700
2023-05-29,40.099998,41.160000,37.439999,40.750000,40.486549,1969700
2023-06-05,40.509998,43.880001,39.910000,43.189999,42.910774,1513500
2023-06-12,43.689999,49.250000,42.759998,47.560001,47.252525,2423700
2023-06-19,47.610001,49.720001,47.139999,48.279999,47.967869,1785200
2023-06-26,48.200001,53.349998,48.200001,51.660000,51.326015,2997700
2023-07-03,51.779999,52.590000,47.259998,50.869999,50.630455,1698800
2023-07-10,50.939999,54.000000,50.610001,53.290001,53.039059,1775000
2023-07-17,53.000000,54.400002,46.830002,47.650002,47.425621,2295500
2023-07-24,47.650002,48.860001,44.459999,46.220001,46.002350,1853300
2023-07-31,46.150002,48.250000,45.349998,46.400002,46.181507,1675500
2023-08-07,46.570000,47.220001,35.709999,36.160000,35.989723,5170200
2023-08-14,35.590000,36.029999,32.369999,34.369999,34.208153,3125900
2023-08-21,34.410000,35.220001,33.130001,33.860001,33.700554,2126000
2023-08-28,34.500000,40.000000,34.459999,39.689999,39.503098,3180200
2023-09-04,39.400002,39.400002,35.230000,36.360001,36.188782,1885200
2023-09-11,36.520000,37.000000,34.259998,35.110001,34.944668,2030300
2023-09-18,34.750000,35.919998,32.840000,33.419998,33.262623,1591700
2023-09-25,33.139999,33.669998,32.000000,32.959999,32.804790,1320700
2023-10-02,32.860001,34.189999,31.790001,33.900002,33.834034,1568800
2023-10-09,33.549999,35.790001,32.400002,32.750000,32.686268,1683300
2023-10-16,33.020000,34.480000,31.850000,32.549999,32.486656,1834600
2023-10-23,32.180000,33.130001,30.840000,32.349998,32.287045,2141100
2023-10-30,32.919998,34.669998,31.590000,34.259998,34.193329,1900800
2023-11-06,28.820000,33.049999,28.209999,33.009998,32.945763,3941200
2023-11-13,32.750000,37.889999,32.689999,35.689999,35.620548,1757700
2023-11-20,35.480000,36.169998,33.189999,35.310001,35.241287,1472200
2023-11-27,35.000000,37.750000,33.900002,37.029999,36.957939,1402400
2023-12-04,36.820000,39.590000,36.139999,39.549999,39.473038,1555900
2023-12-11,39.450001,43.889999,38.599998,43.610001,43.525135,2304500
2023-12-18,44.000000,45.369999,43.150002,45.110001,45.022217,2066000
2023-12-25,45.060001,46.830002,45.060001,45.709999,45.621048,1027100
2024-01-01,45.000000,45.389999,41.840000,43.599998,43.599998,1013100
2024-01-08,43.689999,44.660000,42.340000,42.709999,42.709999,1007700
2024-01-15,42.400002,43.980000,41.070000,43.950001,43.950001,1024400
2024-01-22,44.180000,47.419998,43.889999,45.680000,45.680000,1781100
2024-01-29,45.650002,47.700001,45.349998,47.400002,47.400002,1002200
2024-02-05,46.830002,49.340000,45.380001,48.759998,48.759998,1121100
2024-02-12,48.700001,49.930000,41.930000,43.250000,43.250000,2381700
2024-02-16,42.270000,43.660000,42.270000,43.250000,43.250000,329543
